CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmountUSD,Size,ReviewRating,DiscountApplied,PreviousPurchases,PaymentMethod,Annual_Income,Spending_Score,Purchase_Frequency,Location_Rural,Location_Suburban,Location_Urban,Demographics_Homemaker,Demographics_Professional,Demographics_Retired,Demographics_Student
15,41,Male,Shoes,Home Decor,171.17,S,5,Yes,9,Debit Card,34254,10,11,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
16,20,Female,Laptop,Accessories,259.07,XL,5,No,2,Credit Card,61722,48,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,39,Female,T-Shirt,Home Decor,21.75,S,3,Yes,3,UPI,73316,12,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
18,19,Female,Curtains,Sports,163.38,S,4,Yes,14,Cash,137869,93,16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
19,41,Female,Bag,Clothing,411.74,L,2,Yes,8,PayPal,109702,67,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
20,61,Male,Shoes,Sports,281.43,M,3,Yes,4,UPI,21914,93,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
21,47,Female,Watch,Clothing,230.79,L,5,No,11,Debit Card,60123,69,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
22,55,Male,Curtains,Electronics,149.91,S,3,Yes,3,Cash,108323,40,14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
23,19,Female,Football,Home Decor,156.04,S,3,No,11,Credit Card,33848,42,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
24,38,Male,Curtains,Electronics,197.72,XL,3,No,5,Cash,137458,28,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
25,50,Male,T-Shirt,Electronics,419.43,S,5,No,0,UPI,148935,36,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
26,29,Male,Watch,Clothing,483.93,S,4,Yes,9,Debit Card,132205,72,8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,39,Male,T-Shirt,Sports,224.94,S,1,Yes,0,Cash,29429,23,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
28,61,Male,Curtains,Accessories,202.74,M,2,No,4,Cash,84869,53,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
29,42,Female,Bag,Clothing,424.81,L,2,Yes,4,PayPal,129148,26,10,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
30,44,Female,Phone,Accessories,219.18,L,3,No,10,PayPal,68843,95,19,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
31,59,Female,Shoes,Electronics,280.49,M,4,No,8,UPI,29997,16,14,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
32,45,Male,Watch,Accessories,123.16,M,5,Yes,0,Credit Card,25615,50,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
33,33,Female,Phone,Sports,374.32,M,1,Yes,2,Credit Card,112014,7,12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
34,32,Male,Curtains,Clothing,270.67,L,1,No,2,Debit Card,135673,24,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
35,64,Male,Shoes,Sports,406.43,L,3,No,3,UPI,53464,21,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
36,61,Female,Laptop,Sports,392.56,S,3,Yes,11,Credit Card,40936,65,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
37,20,Female,Phone,Clothing,115.35,L,5,Yes,12,Cash,64655,51,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
38,54,Male,Phone,Sports,360.66,XL,5,Yes,6,UPI,144544,96,14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
39,24,Male,Curtains,Home Decor,402.03,L,5,No,14,Cash,54256,75,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
40,38,Female,Football,Home Decor,179.59,M,3,No,6,Debit Card,140237,17,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
41,26,Female,Curtains,Home Decor,94.58,L,4,No,14,UPI,53041,35,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42,56,Female,Phone,Accessories,11.29,S,3,Yes,9,Debit Card,72660,61,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43,35,Female,Shoes,Sports,230.94,L,3,No,4,PayPal,35741,39,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
44,21,Male,Bag,Clothing,182.69,M,1,No,13,Debit Card,131035,71,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
45,42,Female,Football,Clothing,281.91,XL,5,No,8,PayPal,123654,3,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
46,31,Female,Curtains,Accessories,102.14,M,2,Yes,6,UPI,125587,89,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
47,26,Female,Bag,Clothing,431.24,XL,5,No,1,Cash,96842,67,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
48,43,Male,Watch,Home Decor,136.3,S,4,Yes,11,Cash,100168,94,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
49,19,Male,Curtains,Sports,120.95,S,4,No,2,Cash,132132,55,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50,37,Male,Phone,Clothing,245.55,L,5,No,10,Debit Card,26190,47,19,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
51,45,Male,Bag,Clothing,254.44,S,5,Yes,6,UPI,139663,12,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
52,64,Female,Phone,Electronics,115.39,S,3,Yes,4,UPI,143296,4,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
53,24,Male,Laptop,Electronics,143.21,M,2,Yes,6,PayPal,103718,40,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
54,61,Female,Bag,Electronics,93.16,M,3,No,8,UPI,122982,2,10,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
55,25,Female,Bag,Sports,362.05,L,1,Yes,8,Cash,123944,33,14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
56,64,Female,Curtains,Home Decor,387.34,L,1,No,2,UPI,118267,7,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
57,52,Female,Phone,Home Decor,236.54,L,4,No,7,PayPal,82110,69,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58,31,Male,Watch,Home Decor,359.9,L,4,Yes,12,UPI,56908,71,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
59,34,Male,T-Shirt,Sports,370.61,M,2,Yes,5,UPI,114368,70,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
60,53,Male,Football,Sports,77.76,L,4,Yes,12,Cash,114248,6,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
61,57,Female,T-Shirt,Electronics,483.43,L,1,Yes,3,UPI,57405,29,6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
62,21,Female,Football,Clothing,412.31,S,2,No,14,Debit Card,52009,52,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
63,19,Female,Watch,Accessories,110.2,L,1,No,3,PayPal,133450,19,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
64,23,Female,Bag,Accessories,101.22,XL,5,Yes,3,PayPal,71699,38,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
65,59,Female,Bag,Clothing,71.57,S,5,Yes,6,PayPal,26516,13,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
66,21,Male,Curtains,Electronics,77.81,M,2,No,5,UPI,45564,73,15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
67,46,Female,Laptop,Clothing,376.6,XL,3,No,1,Debit Card,130112,80,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
68,35,Male,Phone,Clothing,240.13,L,4,Yes,4,PayPal,108277,53,14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
69,43,Female,Phone,Accessories,393.64,S,2,No,4,Credit Card,53491,98,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
70,61,Female,Phone,Electronics,375.66,L,4,No,5,Cash,148966,50,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
71,51,Male,Curtains,Sports,306.26,S,1,No,6,Credit Card,77906,64,12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
72,27,Male,Football,Accessories,346.32,L,3,No,11,Credit Card,144228,45,14,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
73,53,Female,Bag,Sports,18.99,XL,4,No,10,PayPal,70030,70,20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
74,31,Female,Watch,Electronics,162.77,M,5,No,7,Credit Card,95846,6,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
75,48,Female,Phone,Clothing,322.53,XL,5,No,11,Credit Card,91508,60,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
76,32,Female,T-Shirt,Home Decor,14.58,XL,1,No,9,Debit Card,126051,91,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
77,25,Male,Phone,Home Decor,26.16,M,2,Yes,13,Cash,130851,45,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
78,31,Female,Bag,Electronics,427.43,S,4,No,14,UPI,132984,4,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
79,40,Male,Curtains,Home Decor,345.17,S,1,Yes,7,PayPal,90928,24,19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
80,57,Female,Watch,Sports,140.03,M,5,Yes,10,PayPal,61137,2,16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
81,38,Male,Laptop,Home Decor,347.1,L,5,Yes,4,Credit Card,119173,92,16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
82,33,Male,Watch,Electronics,398.3,S,5,Yes,1,UPI,41517,33,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
83,62,Female,T-Shirt,Electronics,160.33,XL,3,Yes,9,UPI,140583,31,20,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
84,35,Male,Phone,Sports,27.66,M,3,No,7,UPI,52818,26,11,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
85,64,Female,Phone,Home Decor,467.06,XL,5,Yes,5,PayPal,47667,3,7,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
86,41,Male,Shoes,Home Decor,179.14,S,2,No,2,PayPal,98408,35,11,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
87,43,Female,Football,Clothing,62.18,M,3,Yes,3,Debit Card,23827,49,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
88,42,Male,T-Shirt,Accessories,251.01,M,4,No,11,PayPal,107882,3,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
89,62,Female,Shoes,Electronics,386.55,S,3,No,0,PayPal,114280,86,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
90,58,Female,Watch,Clothing,118.61,S,4,Yes,2,Debit Card,143607,48,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
91,46,Male,Laptop,Electronics,142.05,M,3,No,3,PayPal,75953,71,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
92,32,Male,Football,Clothing,128.93,L,5,Yes,1,Credit Card,70347,80,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
93,62,Male,T-Shirt,Accessories,495.92,M,4,No,13,Credit Card,121592,19,9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
94,18,Male,Phone,Clothing,106.73,L,2,No,11,Debit Card,83279,41,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
95,42,Female,Watch,Electronics,292,XL,3,Yes,5,Debit Card,124553,3,20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
96,24,Male,T-Shirt,Home Decor,463.38,L,3,No,7,Credit Card,96926,8,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
97,26,Female,Phone,Electronics,81.98,L,5,No,11,UPI,146846,75,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
98,41,Male,Bag,Sports,485.72,S,4,No,5,PayPal,67055,13,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
99,18,Female,Football,Sports,474.26,M,5,No,9,Cash,138336,44,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
100,61,Female,Bag,Sports,443.44,XL,4,No,2,Cash,53273,95,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
101,25,Female,Bag,Sports,115.13,M,3,No,8,Debit Card,140734,52,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
102,41,Female,Phone,Accessories,320.69,L,3,Yes,13,Cash,38803,45,10,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
103,28,Male,Laptop,Home Decor,382.84,L,3,No,3,UPI,84288,90,17,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
104,34,Male,Watch,Home Decor,493.15,L,3,Yes,13,Cash,122792,10,19,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
105,25,Female,Curtains,Electronics,98.41,M,1,No,5,Credit Card,130704,24,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
106,52,Male,Phone,Clothing,385.35,L,3,Yes,3,Debit Card,60435,50,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
107,52,Male,Laptop,Electronics,176.01,M,3,No,14,Cash,58177,16,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
108,50,Female,Curtains,Electronics,96.06,XL,4,Yes,3,PayPal,86377,95,16,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
109,22,Male,Watch,Electronics,216.47,XL,3,No,10,Debit Card,145988,27,17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
110,59,Male,Bag,Electronics,398.98,M,3,Yes,1,UPI,147103,33,11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
111,56,Male,Football,Home Decor,237.78,XL,4,Yes,9,Credit Card,142391,61,18,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
112,58,Female,Football,Clothing,273.39,S,3,Yes,1,Cash,136493,27,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
113,45,Male,Watch,Electronics,497.63,L,3,No,1,Credit Card,28813,21,8,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
114,24,Female,Watch,Home Decor,205.56,L,5,No,1,UPI,129100,95,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
115,26,Male,T-Shirt,Electronics,311.55,L,1,No,7,Cash,109124,53,17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
116,25,Male,Laptop,Sports,188.97,S,4,Yes,14,Debit Card,68276,56,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
117,29,Male,Bag,Electronics,202.46,L,5,No,9,Debit Card,99265,82,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
118,51,Female,Laptop,Electronics,350.86,M,2,Yes,3,PayPal,40392,17,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
119,50,Female,Watch,Accessories,469.56,L,2,No,3,UPI,54918,76,15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120,40,Male,Shoes,Sports,275.76,M,1,Yes,9,Cash,53251,78,10,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
121,41,Female,Shoes,Clothing,386.52,XL,2,Yes,9,Credit Card,28039,27,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
122,54,Male,Curtains,Electronics,53.71,M,1,Yes,10,Credit Card,56093,21,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
123,52,Female,Curtains,Clothing,113.47,M,2,No,13,Cash,121799,83,8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
124,61,Female,Shoes,Sports,256.04,M,2,Yes,2,UPI,140223,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
125,57,Male,Watch,Electronics,19.81,L,5,No,4,UPI,129004,69,14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
126,39,Male,Watch,Accessories,133.9,S,2,Yes,3,Credit Card,94420,9,19,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
127,44,Male,Curtains,Home Decor,263.53,S,1,No,6,Cash,52258,17,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
128,52,Male,Phone,Accessories,17.33,M,3,Yes,9,Cash,43135,14,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
129,18,Female,Watch,Accessories,139.63,L,3,Yes,6,Credit Card,131936,27,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
130,52,Female,Shoes,Home Decor,261.88,S,3,Yes,5,Cash,57208,17,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
131,54,Female,Laptop,Home Decor,290.84,XL,1,No,6,Cash,128921,6,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
132,64,Male,Watch,Home Decor,463.62,XL,1,Yes,11,Debit Card,64592,95,12,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
133,31,Male,Bag,Electronics,326.22,L,3,Yes,6,Debit Card,45508,97,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
134,20,Female,Watch,Clothing,213.22,XL,2,No,12,PayPal,24930,18,7,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
135,18,Male,Phone,Clothing,465.87,XL,3,No,7,PayPal,41473,88,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
136,22,Female,Curtains,Home Decor,394.59,XL,4,Yes,10,UPI,30938,28,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
137,43,Female,Watch,Accessories,108,S,1,No,12,Debit Card,87323,76,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
138,31,Female,Football,Sports,74.11,XL,4,No,0,Debit Card,41142,67,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
139,56,Female,T-Shirt,Home Decor,341.15,M,4,Yes,14,Debit Card,110977,33,8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
140,44,Female,Shoes,Accessories,284.34,M,1,No,2,Debit Card,136604,72,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
141,26,Male,Bag,Accessories,396.94,XL,3,Yes,11,UPI,124484,92,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
142,32,Male,Bag,Electronics,372.01,M,5,Yes,2,Credit Card,117530,94,14,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
143,32,Male,Bag,Electronics,316.35,S,4,Yes,4,UPI,27332,65,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
144,43,Female,Football,Clothing,493.33,L,3,No,9,Credit Card,76492,78,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
145,59,Female,Bag,Clothing,271.46,M,5,No,13,PayPal,38481,35,12,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
146,30,Female,Bag,Sports,65.42,XL,4,Yes,12,Debit Card,130275,95,12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
147,49,Female,Curtains,Sports,415.85,L,3,Yes,12,Credit Card,100882,26,14,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
148,56,Male,Laptop,Sports,133.41,L,4,No,6,UPI,70357,64,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
149,49,Male,T-Shirt,Sports,390.88,XL,3,No,14,Credit Card,117697,9,8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
150,21,Female,Football,Accessories,478.98,M,2,Yes,9,Cash,119522,70,14,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
151,47,Female,T-Shirt,Accessories,351.43,S,2,Yes,5,PayPal,95917,33,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
152,54,Female,Shoes,Clothing,302.05,M,1,Yes,3,PayPal,44491,68,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
153,40,Male,Curtains,Electronics,235.59,M,5,No,5,Debit Card,63089,82,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
154,56,Male,Watch,Electronics,188.56,S,4,Yes,6,Debit Card,61320,80,17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
155,62,Male,Laptop,Home Decor,182.97,L,4,No,3,UPI,124856,37,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
156,32,Female,Curtains,Accessories,321.82,S,3,Yes,10,Credit Card,104173,79,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
157,60,Female,T-Shirt,Sports,378.12,S,5,No,7,Cash,53381,51,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
158,46,Male,Football,Sports,342.47,XL,4,No,4,PayPal,21810,87,14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
159,53,Female,Shoes,Home Decor,107.22,XL,5,Yes,2,Credit Card,26702,6,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
160,30,Male,Shoes,Electronics,252.05,M,5,No,1,Cash,66663,79,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
161,49,Female,Curtains,Sports,397.9,XL,2,No,0,Credit Card,97278,48,19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
162,24,Male,Watch,Electronics,243.09,S,4,Yes,14,Debit Card,70453,79,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
163,39,Female,Football,Home Decor,272.95,S,4,No,3,PayPal,100029,9,9,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
164,45,Male,Watch,Electronics,387.86,XL,1,No,1,Cash,120706,11,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
165,19,Male,Watch,Electronics,334.02,XL,5,Yes,11,Debit Card,68990,63,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
166,59,Male,Bag,Electronics,210.58,XL,3,No,2,UPI,135369,74,4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
167,62,Male,Football,Sports,448.75,S,2,No,0,UPI,134995,69,10,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
168,23,Male,T-Shirt,Clothing,89.66,L,1,Yes,14,Debit Card,73645,23,19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
169,45,Male,Curtains,Accessories,497.8,L,2,Yes,13,Cash,61254,75,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
170,45,Female,Curtains,Electronics,68.24,XL,3,Yes,12,Cash,71421,56,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
171,61,Female,Bag,Electronics,17.33,M,1,No,5,PayPal,58630,1,13,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
172,61,Female,Phone,Electronics,446.11,M,2,Yes,3,Debit Card,97625,66,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
173,37,Male,Curtains,Clothing,130.03,L,3,Yes,4,UPI,43241,42,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
174,47,Male,Shoes,Home Decor,367.55,XL,1,Yes,14,Debit Card,48247,93,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
175,28,Female,T-Shirt,Sports,407.4,S,3,Yes,7,Credit Card,85320,26,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
176,45,Male,Football,Clothing,430.9,M,1,Yes,10,Cash,84862,36,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
177,42,Male,Curtains,Electronics,495.88,M,4,Yes,3,Credit Card,123253,11,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
178,56,Male,T-Shirt,Clothing,154.08,S,4,Yes,5,UPI,71614,11,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
